Platform, Symbol, Units, LR, Test_Loss, Test_Acc, Val_Loss, Train_f_shape_0, Train_f_shape_1
Binance,TRXUSDT,128,0.0001,0.0034283699933439493,0.05855228379368782,0.0004740466538351029,1,2
Binance,TUSDUSDT,288,0.0001,0.010851348750293255,0.1041698083281517,0.009338556788861752,1,2
Binance,UNIUSDT,512,0.01,0.0001027618272928521,0.01013715099543333,2.7404403226682916e-05,1,2
Binance,USDCUSDT,256,0.0001,0.009199058637022972,0.09591171890497208,0.008849678561091423,1,2
Binance,VETUSDT,512,0.01,9.346723527414724e-05,0.009667845442891121,0.00022233236813917756,1,2
Binance,XLMUSDT,224,0.0001,0.0011809890856966376,0.03436552360653877,0.00017412540910299867,1,2
Binance,XMRUSDT,512,0.0001,0.00018357204680796713,0.013548877090215683,4.1030507418327034e-05,1,2
Binance,XRPUSDT,224,0.0001,0.0009059621952474117,0.030099205672740936,0.0004888501134701073,1,2
Binance,ZECUSDT,512,0.0001,9.722971299197525e-05,0.009860513731837273,9.17421784834005e-05,1,2
Bitfinex,AIDUSD,480,0.01,0.02894008904695511,0.17011786997318268,0.5560288429260254,1,2
Bitfinex,BATUSD,320,0.001,0.0007659579277969897,0.027675943449139595,4.191062180325389e-05,1,2
Bitfinex,BTCUSD,192,0.01,0.002196122892200947,0.04686281085014343,3.374389052623883e-05,1,2
Bitfinex,DAIUSD,224,0.1,0.5587658286094666,0.7475063800811768,0.09246723353862762,1,2
Bitfinex,EDOUSD,512,0.001,9.135506115853786e-05,0.00955798476934433,9.782967390492558e-05,1,2
Bitfinex,EOSUSD,512,0.001,2.2013038687873632e-05,0.004691805224865675,2.0431101802387275e-05,1,2
Bitfinex,ETCUSD,160,0.001,0.000278870458714664,0.0166994147002697,3.3397482184227556e-05,1,2
Bitfinex,ETHUSD,512,0.0001,0.00014053240010980517,0.01185463648289442,1.3394817869993858e-05,1,2
Bitfinex,ETPUSD,512,0.1,0.3495015501976013,0.5911865830421448,0.019204506650567055,1,2
Bitfinex,LTCUSD,288,0.001,0.0003827945329248905,0.01956513524055481,4.820608955924399e-05,1,2
Bitfinex,NEOUSD,512,0.1,0.2314532995223999,0.48109593987464905,0.008417362347245216,1,2
Bitfinex,OMGUSD,160,0.001,0.0033041283022612333,0.057481549680233,0.00012945976050104946,1,2
Bitfinex,REPUSD,512,0.001,0.0005802785744890571,0.024088973179459572,0.0006329555762931705,1,2
Bitfinex,TRXUSD,512,0.0001,0.0007286104955710471,0.026992784813046455,0.0001296913978876546,1,2
Bitfinex,XMRUSD,288,0.01,0.003667764365673065,0.060562074184417725,0.00026936238282360137,1,2
Bitfinex,XVGUSD,512,0.1,3.4692466259002686,1.8625913858413696,0.002710062311962247,1,2
Bitstamp,BCHUSD,448,0.001,5.3474017477128655e-05,0.007312593050301075,3.011050466739107e-05,1,2
Bitstamp,BTCUSD,512,0.001,0.0002754350716713816,0.0165962353348732,9.545923603582196e-06,1,2
Bitstamp,ETHUSD,160,0.001,0.0014595474349334836,0.038204025477170944,1.6112095181597397e-05,1,2
Bitstamp,LTCUSD,512,0.001,7.622772682225332e-05,0.008730849251151085,3.4818094718502834e-05,1,2
Bitstamp,XRPUSD,32,0.01,0.0010140123777091503,0.03184356167912483,8.091598283499479e-05,1,2
FTX,BCHUSD,256,0.0001,0.0029082235414534807,0.053927943110466,0.00020263328042346984,1,2
