Platform, Symbol, Units, LR, Test_Loss, Test_Acc, Val_Loss
Bitstamp,ETHUSD.csv,416,0.001,9.796966332942247e-05,0.009897963143885136,1.856693961599376e-05
Bitstamp,LTCUSD.csv,416,0.001,0.00014048063894733787,0.011852452531456947,4.1126288124360144e-05
Bitstamp,XRPUSD.csv,224,0.001,0.00013092716108076274,0.011442341841757298,2.2799316866439767e-05
FTX,BCHUSD.csv,96,0.0001,0.008108202368021011,0.09004555642604828,0.001297472044825554
FTX,BCHUSDT.csv,512,0.001,0.0005356893525458872,0.023144962266087532,0.00019478859030641615
FTX,BNBUSD.csv,512,0.0001,0.018587613478302956,0.13633640110492706,0.0014181050937622786
FTX,BNBUSDT.csv,448,0.001,6.838060653535649e-05,0.00826925691217184,4.315921614761464e-06
FTX,BTCUSD.csv,512,0.0001,0.00526454858481884,0.07255721092224121,0.0004900941858068109
FTX,BTCUSDT.csv,512,1e-05,0.001976613886654377,0.04445912688970566,6.367886817315593e-05
FTX,ETHUSD.csv,288,0.0001,0.011935273185372353,0.10924867540597916,0.0006229182472452521
FTX,ETHUSDT.csv,224,0.01,0.13047562539577484,0.36121413111686707,0.00010047148680314422
FTX,LINKUSD.csv,288,0.001,0.000645248219370842,0.025401737540960312,4.809793608728796e-05
FTX,LINKUSDT.csv,512,0.001,0.0006065750494599342,0.024628743529319763,2.239923742308747e-05
FTX,LTCUSD.csv,384,0.001,0.004278876818716526,0.06541312485933304,0.00046735769137740135
FTX,LTCUSDT.csv,224,0.001,0.000784741307143122,0.028013233095407486,0.00015884751337580383
FTX,TRXUSD.csv,512,0.001,0.0016513759037479758,0.040637124329805374,4.505863762460649e-05
