Platform,Symbol,Units,LR,Test_Loss,Test_Acc,Val_Loss,Train_f_shape_0,Train_f_shape_1
Bitstamp,BCHUSD,512,0.001,5.2224553655833006e-05,0.007226656191051006,2.6242603780701756e-05,1,2
Bitstamp,BTCUSD,96,0.001,0.0006469631916843355,0.025435471907258034,9.13792882784037e-06,1,2
Bitstamp,ETHUSD,192,0.001,0.001457872218452394,0.0381820946931839,1.6761969163781032e-05,1,2
Bitstamp,LTCUSD,160,0.001,6.588299584109336e-05,0.008116833865642548,4.938393976772204e-05,1,2
Bitstamp,XRPUSD,512,0.001,6.222302909009159e-05,0.007888157851994038,1.1708084457495715e-05,1,2
FTX,BCHUSD,416,0.0001,0.002416765782982111,0.049160610884428024,0.00036250424454919994,1,2
FTX,BCHUSDT,384,0.001,0.0010292994556948543,0.032082699239254,7.86046075518243e-05,1,2
FTX,BNBUSD,288,0.0001,0.0191634651273489,0.13843217492103577,0.002064663218334317,1,2
FTX,BNBUSDT,416,0.0001,0.00031316044623963535,0.01769634149968624,2.5477056624367833e-05,1,2
FTX,BTCUSD,512,1e-05,0.009908429346978664,0.0995410904288292,0.0009204142261296511,1,2
FTX,BTCUSDT,320,0.001,0.00011075050133513287,0.010523807257413864,1.1916527000721544e-05,1,2
FTX,ETHUSD,480,0.0001,0.009959513321518898,0.09979736804962158,0.0003305182617623359,1,2
FTX,ETHUSDT,512,0.0001,0.00011604673636611551,0.01077249925583601,1.7571150237927213e-05,1,2
FTX,LINKUSD,480,0.001,0.0005990843055769801,0.024476198479533195,0.00011004462430719286,1,2
FTX,LINKUSDT,320,0.0001,7.956451008794829e-05,0.008919893763959408,7.032051507849246e-05,1,2
FTX,LTCUSD,288,0.001,0.002974103670567274,0.05453534051775932,0.00046412780648097396,1,2
FTX,LTCUSDT,32,0.001,0.00280627328902483,0.05297427251935005,0.00031900452449917793,1,2
FTX,TRXUSD,512,0.001,0.0014066824223846197,0.03750576451420784,5.529155532713048e-05,1,2
FTX,TRXUSDT,128,0.01,0.007970343343913555,0.08927678316831589,0.0010019054170697927,1,2
FTX,XRPUSD,320,0.01,0.021122589707374573,0.14533613622188568,8.181789598893374e-05,1,2
FTX,XRPUSDT,288,0.001,5.465038702823222e-05,0.007392589468508959,1.6531383153051138e-05,1,2
gemini,BTCUSD,256,0.001,0.0004414691939018667,0.021011169999837875,8.626643648312893e-06,1,2
gemini,ETHUSD,32,0.001,0.010788206942379475,0.10386629402637482,0.00011353743320796639,1,2
gemini,LTCUSD,512,0.001,0.0001046622492140159,0.010230457410216331,4.004870061180554e-05,1,2
gemini,ZECUSD,512,0.001,0.00020215478434693068,0.014218115247786045,4.2967687477357686e-05,1,2
Kucoin,ADAUSDT,512,0.0001,24.28817367553711,4.928303241729736,2.716724395751953,1,2
Kucoin,BCHUSDT,256,0.001,0.00014078227104619145,0.011865170672535896,2.7028192562283948e-05,1,2
Kucoin,BNBUSDT,512,0.01,177.24432373046875,13.313314437866211,48.77018356323242,1,2
